product_name,Product_unique_ID,product_Affiliate_site,product_Affiliate_url,product_major_category,product_minor_category,Product_Buy_box_price,Product_lowest_price,Product_current_price,Product_image_path,Publish,Publish_time,updated_date
"OnePlus Pad Go 532/25.51 * 18.8 * 068 2.4K 7:5 Ratio ReadFit Eye Care LCD Display, Dolby Atmos Quad Speakers,Wi-Fi Only, 8GB RAM 128 GB ROM Expandable Up-to 1TB",B0CJ94X1NV,https://www.amazon.in/,https://amzn.to/4iqJOTw,Electronics,Tablets,16998,16499,16999,,,,2025-04-26 16:57:27
"Apple iPad 11?: A16 chip, 27.69 cm (11?) Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID",B0DZ79Q1DB,https://www.amazon.in/,https://amzn.to/44z4ghP,Electronics,Tablets,34899,34490,34900,,,,2025-04-26 16:57:27
"Noise Twist Go Bluetooth Calling Smart Watch for Women with Sleek Metal Dial, Glossy Finish",B0CQ4HSR2D,https://www.amazon.in/,https://amzn.to/4jAxdya,Electronics,Smart Watch,1598,1498,1599,,,,2025-04-26 16:57:27
Fire-Boltt Ninja Call Pro Plus Smart Watch 1.83 inch with Bluetooth Calling,B0BF57RN3K,https://www.amazon.in/,https://amzn.to/42RHGQe,Electronics,Smart Watch,1198,999,1199,,,,2025-04-26 16:57:27
"Noise Twist Round dial Smart Watch with Bluetooth Calling, 1.38"" TFT Display, up-to 7 Days Battery,",B0BJ72WZQ7,https://www.amazon.in/,https://amzn.to/3Ge7QEb,Electronics,Smart Watch,1198,1099,1199,,,,2025-04-26 16:57:27
"Noise Pulse 2 Max 1.85"" Display, Bluetooth Calling Smart Watch, 10 Days Battery,",B0B6BLTGTT,https://www.amazon.in/,https://amzn.to/4cKxgp9,Electronics,Smart Watch,1198,999,1199,,,,2025-04-26 16:57:27
boAt New Launch Storm Infinity w/15 Days Extensive Battery fueled by Huge 550mAh Battery,B0DZ2PDXLS,https://www.amazon.in/,https://amzn.to/3Ex3gAc,Electronics,Smart Watch,1398,1299,1399,,,,2025-04-26 16:57:27
Noise Twist Go Round dial Smartwatch with BT Calling,B0CQ4J4YFL,https://www.amazon.in/,https://amzn.to/3EEj5VJ,Electronics,Smart Watch,1698,1499,1699,,,,2025-04-26 16:57:27
"FRONTECH 20 Inch HD LED Monitor | Refresh Rate 60 Hz, 1600 x 900 Pixels ",B0C5RWGPF7,https://www.amazon.in/,https://amzn.to/4lFgeMV,Electronics,Monitor,2838,2549,2839,,,,2025-04-26 16:57:27
"Lenovo L-Series 54.48 cm (21.4inch) | FHD Ultraslim Monitor |16.7Mn Colors, 75Hz",B0C2VPX93F,https://www.amazon.in/,https://amzn.to/43Y0PkD,Electronics,Monitor,6498,5167,6499,,,,2025-04-26 16:57:27
